Speaker,Detected Speaker,Text
Speaker 0,Reporter,first of all i wanna thank mister patel for joining us today and each and every one of you for joining as well very recently we started streaming our calls on clubhouse as well and last i checked there's close to 50 people listening in on there everyone on this webinar thank you so much for joining here as well during the course of this call please feel free to have add any questions you have in the chat or if you are listening from clubhouse just text them to me directly and yeah let's get started so as someone again that's an immigrant to this country myself and plans to work in the biotech industry after graduation there are so many aspects of mister patel's story and areas of expertise that i resonate with and i know so many of the people listening today are inspired as well and ultimately we all wanna learn what can we as students and young people that are still in college do to learn and grow and live our lives you know in the most effective way possible so i kinda wanna start at the beginning i remember one of the first time you spoke you told me the story of arriving to this country with $20 and working at a candy store what was that experience of moving to the us like for you
Speaker 1,Chirag Patel,so first of all nitya thank you very much for inviting me i'm very excited to speak with you and the rest of your friends and the students from nyu you guys are the future of this country and the world as a whole so thank you very much and if i can be of any help i'll be glad and i'll be very happy to do that so i came to this country in 1987 when i was age of 15 i i had completed 10th grade in india and i went to high school here in 11th grade and as we you know like most of the immigrant that you come with almost nothing and that was i give credit to my parents because they wanted us to kind of on our way and work hard that was his condition for coming to this country because my father was well-to-do back in india so we kind of came with almost nothing and i started working it was a summertime came around april and my first job was in a candy store in new york with little or no english so that was very exciting but new york city is the best city in the world mhmm and it teaches you things very fast so it was a very great experience came to know a lot of people in candy store you get to meet like so many different people and started talking a little bit english back
Speaker 0,Reporter,yeah
Speaker 1,Chirag Patel,but it was big people they were very supportive so i i i think my first job is still very close to my heart i made $3 an hour and there was i think the first paycheck was also very humbling and i still remember i would walk 30 blocks because i did not want to spend a dollar on the subway
Speaker 0,Reporter,mhmm
Speaker 1,Chirag Patel,so i used to change stores between you know like old world trade center all the way on the 62nd
Speaker 2,Reporter ,street yeah
Speaker 1,Chirag Patel,mississippi subway and then walk back to 42nd street so it was quite a experience so you know different parts of new york city and people from different walks of life and how they were acting and behaving and was trying to copy them but that memories are still with me today's date you know and new york city is my most favorite city in the world
Speaker 0,Reporter,what a story to begin your time in this country at a candy store i remember sharing that with people at our meeting and everybody loved that so in the past few months i've been lucky to again speak to various leaders whether that's narayan amurthy or doctor rhonda and they they all speak to this moment where they realized they had to trust their intuition and take a risk and learning about your background you worked as a pharmacist for 8 years before you jumped into being an entrepreneur and what inspired you to pursue entrepreneurship at that point in your life and had you considered it earlier in life
Speaker 1,Chirag Patel,so many of us in 2011 we won the eny entrepreneur of the year award for the pharmaceutical industry myself and my brother and this question was asked that whether leaders are born or you can make a leader right so i think it starts with early age nitya i was a dreamer from my childhood i had big dreams wanted to do something even when i worked at a candy store i remember that's the first time i sat in a mercedes my boss used to have a mercedes and i never had seen mercedes in my life
