Speaker,Detected Speaker,Text
Speaker 0,Reporter,welcome to fort knox i am john fort here this time with chris irmsen ceo of aurora and welcome first of all chris second of all if you don't know aurora it's got to do with autonomous driving and it is public went public via spac and it's still around unlike some competitors have been having a a lot of trouble but you have a history with google and i'm really curious first of all today's toughest problem that you're solving for that's how i always start how i'll start with you given the markets given people suddenly skeptical about about all kinds of things what's the toughest problem you're solving for chris
Speaker 1,Chris Urmson,yeah well first thanks for having me on really appreciate the chance to chat with you and the audience today when i look at the year ahead of us it's actually incredibly exciting right there's a lot of doom and gloom out there automated vehicles are you know is this actually gonna happen and you know all of this concern about it and honestly 5 years ago the sentiment was it's here tomorrow everybody should be you know is gonna be driving around their jets and mobile it's gonna be magic and the entertaining thing is neither of those were correct right that 5 years ago there's a lot of work to do and today it's more real than ever before and so for us at aurora actually this next year is gonna be a heck of a lot of fun we're taking we're going we're working to get to feature complete which means like the driver does basically everything it needs to by the end of the year we expect to have the driver be ready so honestly it's gonna be a hell of a year a lot of fun and we're we're really looking forward to it
Speaker 0,Reporter,so your approach you're focused on not consumer vehicles but on like semitrucks you're running some tests some pilots in texas this makes a lot of sense to me because i think about where is driver and the driver fatigue and just kinda getting the basics right important and where is your economic value in that i think of that space but you've got test drivers also in these trucks that are running so tell me what's the benefit during this period or is it more just about proving out the utility
Speaker 1,Chris Urmson,yeah so right now we're very much in learning right we're building the aurora driver this ability for vehicles to drive themselves on the road and so we have operators in the truck today to help make sure we get the feedback we need from the vehicles they because they can understand what's happening in the world around the truck they understand how it should be driving they get that feedback to our engineers and our algorithms to help make it better what we're doing today though is we are actually hauling goods for people on a daily basis we're out there pulling loads if you had a fedex shipment from houston there's a real real good chance that it was on one of our trucks which is which is really exciting right and so today the value is for us to learn from our partners how does the trucks work with their business how do we make it better how do we fit it in seamlessly for them and for us to make that driver more and more competent and capable
Speaker 0,Reporter,what's what's the kind of best case scenario on what happens with this is there eventually no driver in the vehicle is it in its own dedicated lane i mean i see people when i'm on the road i see people do dumb things in front of semi trucks all the time like cut them off and i'm thinking that that thing's a lot bigger than you are that that would not go well so don't do that i imagine you're seeing these things happen on the road now but it it's one thing if you've got somebody in the vehicle dealing with that it's another thing if you don't even if it's not the software's fault you know there would be headlines what's the ideal case scenario of where this goes and what are the kind of conditions barriers you need to set up to make sure that you mitigate headline risk
Speaker 1,Chris Urmson,"right so so the intent here is that we're gonna make all traffic safer right that you'll be able to get a car you you know you you've you're tired at the end of the day and you just wanna have a nap on the way home or you know watch a video you'll be able to do that rather than having to kind of hate life for an hour as you're wrestling through traffic on the freeway you know with our goods we're gonna be able to move them more quickly we're gonna be able to move them more safely it's gonna be good for our customers our partners that that are these carriers because they'll be able to use those trucks that have taken a bunch of energy and effort to make and they'll be able to use them more and that's basically gonna you know has the opportunity to double their top line double their revenue per asset and on the bottom line we're gonna address the fact that there's a shortage of truck drivers today we don't have enough people who want to drive trucks we're short tens of thousands of them and by the end of the decade we expect to be short more than a 100,000 of them and so that is a real need that's how the american economy is gonna keep moving forward is because we'll be able to move the stuff people want and need through the world and then we'll make it more fuel efficient we'll make it safer and and yes our our goal is to build vehicles that drive themselves where you don't have to have a dedicated lane because we're we're really realists about this you know if we need to go to congress and have them spend a whole bunch of money on freeways to make a lane for a thing that doesn't exist yet that's just not gonna happen so we have to meet the world where it is now and have it really really work at a a practical way off the road"
Speaker 0,Reporter,how does technology and ideas like remote driving work into this i mean did do you see the potential for automated driving to work along with remote where maybe there's somebody who can see what's happening in the vehicle and take it over if need be or no
Speaker 1,Chris Urmson,yeah so we don't think remote driving in the sense that somebody sat at home with a steering wheel and you know hoping that they can kinda keep up with what's happening in the road really solves any problem right for for 1 if you have somebody driving the truck they should be in the truck right like we've got a steering wheel in the truck you don't need all this other technology so i'm not clear exactly what that's solving and then practically there's been a ton of work over over decades looking at simulator sickness and kind of the you know teleoperation sickness where people kind of well vomit right because they get nauseous from driving you have and you have the kinda fundamental problem that while we think of data as ubiquitous right that there's cell phone coverage everywhere we've all you know i know there's a part of my house where i go to my cell phone doesn't work and so you know if your truck's driving down the freeway and you end up in one of those dead zones like that's just not gonna that's just not gonna work and so while we do think there's a role for people to play in supporting these vehicles it doesn't look like driving a vehicle we have a part of our product offering is a is a product called beacon which is this ability for a command center or a dispatch center if you will that's able to kind of look at data coming back from the truck is able to give it guidance much the way that they might be coaching a an operator on the road but they're not ever turning the steering wheel they're saying pull to the side of the road there's something you know broken with road down ahead or you know slow down because you're gonna get into some heavy weather or whatever the thing is but they're not actually driving the vehicle
Speaker 0,Reporter,yeah that makes sense got a question here and that it's it's a good question so i'll i'll put it up i happen to know the questioner i used to work with her what are your timeline expectations for broad consumer adoption given that your current focus is with commercial
Speaker 1,Chris Urmson,yeah so so our focus is on commercial and you know at the end of this year we expect to have the driver ready and then we expect in the next year to launch it with trucks and it'll start small right the we're talking small tens of trucks and then growing over time our technology has been designed to work both for trucks and cars in fact today we work with toyota the world's number one car manufacturer and the same hardware that's driving our peterbilt 5 seven nines and working with our volvo partners is also driving our toyota sienna and so that'll follow behind what we're doing with trucking that'll be a few years what's really exciting to see is that in in certain cities in the us whether it's in phoenix or san francisco or starting to be la you can actually see this on the road today right you can go get into a a vehicle that's driven by by some of our compart competitors or maybe partners in developing this technology out there and we'll we'll get to that in a little while so you're starting to see it more and more but it's gonna be it's gonna be a it's gonna unroll over the next decade plus is my expectation
