Speaker,Detected Speaker,Text
Speaker 0,Reporter,"welcome to another episode of the business of biotech summer executive sessions edition i'm matt piller chief editor at bioprocess online and your host for this week's up close and personal conversation with doctor christopher anzalone president ceo and director at arrowhead pharmaceuticals doctor anzalone was an nih supported postdoctoral fellow in reproductive endocrinology at the smithsonian institution's conservation and research center prior to managing private equity for galloway partners and prior to the founding of his own nanobiotechnology private equity firm the bennett group in 2,005 he joined arrowhead which boasts a deep pipeline of therapies developed to silence the genes that cause intractable diseases using rna chemistry back in 2007 today we're going to learn a little bit more about doctor anzalone his company and why they're both committed to taking rna interference beyond the liver doctor anzalone welcome to the show"
Speaker 1,Christopher Richard Anzalone,thanks very much good to be here
Speaker 0,Reporter,did i get all that right did i make any mistakes in your your brief intro there
Speaker 1,Christopher Richard Anzalone,far so good
Speaker 0,Reporter,alright good good so i wanna start at a high level and and learn a little bit about you and kinda what led into the the founding of of arrowhead so i'll start with a very simple question when you made that move what what was the inspiration behind making the move from private equity and taking the reins at arrowhead
Speaker 1,Christopher Richard Anzalone,yeah so so i didn't i didn't start arrowhead arrowhead was was an existing company at the time it was publicly traded
Speaker 0,Reporter,so there's the there's there's my first mistake of many correct me
Speaker 1,Christopher Richard Anzalone,no it's it was it was an existing company there were two things that that intrigued me about that opportunity one was that it was a turnar it was a broken company with a broken business model and i thought that was an interesting challenge it was it was an unfocused company it was a nanotechnology holding company at the time with the idea that that it was providing exposure to these nanotechnology opportunities to the public investor and so it had a number of majority owned subsidiaries underneath it and again that model didn't seem to work to me at least because there were no synergy among those companies and it was gonna be very difficult for any investors to really understand the business right so anyway so it was a it was a it was a turnaround that was interesting to me but second and probably more importantly was that they had a small rnai company called kolando pharmaceuticals as one of its subsidiaries and and and as they as i looked at at what they had that was interesting and i thought that was the future you know if you could harness rna interference and and gosh i think i won the nobel prize in 2006 or thereabouts and so it was it was a brand new technology when i joined yeah but it was it was it was potentially so powerful that that i thought look let's i would be interested in taking the reins here if we could rationalize the business and make it a more traditional biotech company and focus only on that technology and so i told them look you know if you wanna do that i'll do it if you don't that's okay too we can have beers and be friends but but i'm not gonna join the company otherwise and and the board was very generous with respect to to that sort of freedom and so we decided to do it and i i thought i needed a good year of upmarket to to to fix that business because you know it's it's a it was a it was a a a capital intensive business that was not well understood and and so i needed some i thought i needed some some win at my back and i had i got a quarter you know march of 2008 rolls around and and bear stearns goes belly up and and then all hell breaks loose so it took it took longer to rationalize the business than i expected but we were able to do it still
Speaker 0,Reporter,yeah and in relatively short order i mean you talk about the you know the recession impacting things you talk about taking a small element of the company and its rnai technology and kind of focusing on that and and like i said within short order by 2011 you your your company really you know put itself out there by acquiring roche's rnai assets and then and just a few years later buying all of novartis' rnai assets which by the way there's a a great story my colleague rob wright the chief editor at life science leader wrote a really great story on your company that kind of walked through those purchases i believe it was in our april 2020 issue of life science leader so check that out but as i said you you you really you know took something small had some headwinds right off the bat but then made some very significant investments kinda stuck the company's neck out to acquire that technology what is it about this technology that makes you so confident and willing to to to make those moves
Speaker 1,Christopher Richard Anzalone,well first of all so so you say short order short order for you in retrospect you know when when we were living it it was long order you know big time you know it was it was a difficult time you know in the in the world much less you know to be at a company that's capital intensive and and trying to fix itself it's funny as a quick aside i remember i was talking to my father you know during this whole period and and and he said he said are you sorry that you made the move you know because because you you've seemed happy at you know at the at the prior job and and now now it's difficult here and i said i said actually i view the whole the whole meltdown as a gift you know because the only way to know how to to you know to dig yourself out of out of the mother of all holes is to dig yourself out of the mother of all of all holes and hopefully i don't have to do that again but but but i learned how to do it so anyway so it it took a while but we got there so to your question you know what you know what drew what what what drew us to to making those bets i think i think that rnai is the best bet in biotech and that sounds like hyperbole but i really i believed it then i believed it now you know it is it's it is it is a a a mechanism with surgical precision you know if you do it right you can you can silence a single gene and that is extraordinarily powerful you know again if you do it right and if you and if you are if you are addressing the right gene there is just nothing with that sort of with that sort of specificity so that that that alone is is extraordinarily powerful for a number of of different disease states second it's non permanent you know people talk about gene therapy this crispr and and and the like and those are you know that's an interesting idea but the permanence of that is frightening at least right now you know there's a long way to go i think for from my perspective between now and and being comfortable with changing somebody's genome for goodness sakes you know the first person that needs to be uncrisparized makes me nervous and so the the the the the lack of permanence of rnai is attractive to me but then you layer on top of that the durability of this it was it's a really amazing combination you know we've got we have some drugs that that that that show you know activity for more than 6 months and so it's a pretty it's a pretty neat idea that you can turn off a single gene you know with a single subcutaneous injection for over 6 months and again if you choose that gene right i think that's gonna change a lot of lives and so so you know those things those things made this an opportunity that we just needed to jump on yeah and we need to continue to you know to to push forward i think
