Speaker,Detected Speaker,Text
Speaker 0,Reporter 1,kitco mining's special coverage of pdac is brought to you by gold mining and uranium energy core
Speaker 1,Reporter 2,b2 gold is going to have to buy some parkers for some of its workforce as the company recently announced that it's gonna buy sabena gold and silver and its back river development project in nunavut in canada to tell us more i'm pleased to be joined here at pdac 2023 by president and ceo clive johnson welcome to kitco clive
Speaker 2,Clive T. Johnson,nice to see you again paul thank you
Speaker 1,Reporter 2,"thank you for joining us now you were hinting for quite a while that b2gold's next move would be to acquire a north american asset but i think your $1,100,000,000 canadian offer for sabina took many people by surprise why sabina why now"
Speaker 2,Clive T. Johnson,well it was a great project 1st and foremost you're right we did want some geographical diversification i think our shareholders wanted to see that as well and you know it's a obviously we've often thought it would be nice to have a purchase in canada and you know 40 odd years ago i was a line cutter and a claim seeker in the yukon when i was a young lad and so we've come full circle now back to the north again but a great project good jurisdiction very good relationships with the the owners of the land the inuit population high grade attractive economics even with the challenges of the north and also it fit well in our wheelhouse because we do have northern experience from building the kupo mine in the 2000 early 2000s in the far north of russia which was very challenging logistically so some of those same construction guys are still with the company we thought it was the right time and sabin has done i must say sabin has done an excellent job in all sorts of things exploration permitting it's into construction now we like what they're we like the construction plan we like the schedule so it's a good mix we gotta work together on this going forward and a good acquisition for us and the one we're very very excited about we did a lot of due diligence work and confirmed that they've done very good quality work it's a very good project
Speaker 1,Reporter 2,"well congratulations on that b 2 gold is already a circa 1,000,000 ounce a year producer backriver is gonna be what 300 350,000 ounce a year so another step towards b 2 becoming recognized or more recognized as a let's say tier 1 major senior gold company"
Speaker 2,Clive T. Johnson,"yeah and it fit very well for the reasons i've said the other thing that was allowed this to happen is our is our financial strength you know we have no debt we have 650,000,000 us in the bank we are have access to capital very $600,000,000 revolving credit facility from a great bunch of banks that's undrawn right now so we have the financial capability to take this on as well and it fits in our our wheelhouse that in that regard as well and the payback it's a very attractive economics so the payback for goose should be something less than 3 years payback of the capital"
Speaker 1,Reporter 2,okay now back river is permitted financed and most of the civil works have been completed which is often the the trickiest part of a build so in some ways it's about as derisked as it could get was that a key factor in this being the moment when you made the bid
Speaker 2,Clive T. Johnson,well i think there was a number of factors one was the fact that sabina was looking to do this on their own and that was making very good progress so i think for bruce mcleod who's done a great job their ceo and their board they were keen on growing realising the value for the shows by growing the asset so it was a time of couple of years of discussion about what would it look like and frankly you know i'm sure a bittersweet decision for them in some ways and i've been there before but they did i think a good deal for the shareholders and our culture is very similar our corporate cultures but the financing was an important thing as well because when you're a single asset company trying to finance a gold mine the financing terms can be challenging or at least it could be relatively expensive whereas for us with our strong balance sheet we are able to come in and and and and basically take over for the rest of the financing responsibility with our cash in hand and our access to to low cost loans from our banks so that was an important timing factor as well before they drew down the rest of their financing as they had planned so
Speaker 1,Reporter 2,i think that's a a a factor that often gets overlooked you know in recent years a lot of mine developments who have buy single asset duties have run into trouble and one of the reasons there has been the financial strength or lack of of their balance sheet and i think i recall you saying during the conference call announcement that bringing b2 gold balance sheet will enable you to advance some things that they would have to put off because of you know their financial limitations you don't have that so you can really sort of build it to its optimum optimum aspect
Speaker 2,Clive T. Johnson,"yeah and then and then good point and then two aspects of that would be 1 we're actually because they they were cash constrained and when you're when you've got financing that's not cheap you're going to try and limit your costs so one of the things they wanted to do was but didn't do delayed was to go underground earlier and get access to good grade material so they could start at they're starting at they were planning 3,000 tonnes a day to start and they always wanted to go to 4,000 in the 1st year but because of our financial strength we're going to spend that money now so we'll start at 4,000 tonnes a day through the plant and the other reason i think where the balance sheet really really helps out is in exploration because we've always been i think as a producer an excellent exploration company that's our history so we're able to explore this really incredible opportunity of the belt so whereas they were constrained in exploration expenditures obviously while you're building a mine we'll probably have a budget of $20,000,000 this year to explore the ultimate potential of back river it's an 80 kilometre belt of incredibly prospective ground and they've had lots of good hits that they weren't able to follow-up on so we think the exploration is about 9,000,000 ounce resource now it has the potential to grow dramatically over time"
Speaker 1,Reporter 2,and as you mentioned clive you've had a history of showing that your exploration is very good and has been able to grow and grow assets were you surprised that there wasn't a competing bid for for the asset from someone like agnico eagle mines which also has other arctic operations or high canadian arctic operations or kimro skull which obviously has operations in alaska it had the kupol operation that you built in in russia until last year and now has a a production gap to fill
