Speaker,Detected Speaker,Text
Speaker 0,Reporter,alright i am here with dale schwartz dale welcome to the podcast thank you alright tell us the story about pinstripes sure it goes back
Speaker 1,Dale Schwartz,58 years bowled as a kid in cleveland always enjoyed it took dates bowling after grad school i spent 4 years late eighties with private equity group in manhattan and was gonna buy a bowling alley on the upper west side 74th and broadway in 1989 we were gonna buy the bowling alley and do quality food coined the name pinstripes pinstripes suit upscale image pun with bowling didn't do it got busy left new york was in the biotech industry for a number of years then i started an integrated pharmacy concept and for 20 years kept mentioning to friends and family this bowling idea and then finally said life's too short and about 20 years ago spent about almost 2 years putting the pieces together and started binstraves mhmm
Speaker 0,Reporter,so but i mean before we get into it what was the best score you've ever had bowling
Speaker 1,Dale Schwartz,that was about 19 years ago 222 right i had about 5 beers when we were putting our team together for our first location and yeah yeah i got a little lucky i i i wouldn't roll a 222 if i bowl today yeah
Speaker 0,Reporter,yeah yeah but so you were a private you were in private equity and you were looking at buying a bowling alley with the private equity firm
Speaker 1,Dale Schwartz,no just put your 2 friends on the side
Speaker 0,Reporter,friends on the side no
Speaker 1,Dale Schwartz,private equity i was one of 3 principals buying businesses no this was totally on the side and then we all got busy we didn't do it and then i decided years later to just finally do it in a meaningful full time way and that was the genesis of starting the concert
Speaker 0,Reporter,mhmm so like what was your what was your thinking why did you think that good food with a bowling alley would would would would go together
Speaker 1,Dale Schwartz,well when when i grew up like a lot of people bowling once upon a time was just quality so it was the community venue where you enjoyed yourself with family and friends the industry didn't update its lanes etcetera for quite a long time and the the the vision was to go back to the future in the pharmacy business that i had started we were kinda redefining the pharmacy business so we had integrated pharmacies picture whole foods with with prescription products and i wanted to do the same with bowling and then we introduced bocce as well all in the context of quality connections and mind you we opened may 2007 2 months before the iphone was introduced so back then it was still just gather and spend quality time together bowling was just that sticky element that brought people together mhmm
Speaker 0,Reporter,and so what did you do to i mean what makes your food better than what you would see at a traditional bowling alley and how did you get that taken
