Speaker,Detected Speaker,Text
Speaker 0,Reporter,"welcome everybody i'm doctor howard koh i'm very pleased to welcome you to a new video series entitled what ceos say cosponsored by the harvard th chan school of public health and the harvard business school with support from the robert wood johnson foundation our overall goal is to explore how the private sector can leverage its resources to promote health and well-being for society and in particular we want to meet business leaders who have committed to promoting a culture that advances health for employees consumers communities and or the environment we wanna hear from these leaders about how they made that commitment what changes they made the challenges they faced and how they overcame them and the lessons learned that they wanna share with others so in that regard we are very very pleased to welcome our first guest mister dan houston who is chair president and ceo of principal financial group and this business which is located in iowa but has worldwide reach employs over 15,000 people in 19 countries reaches some 22,000,000 clients is that right and has as a fall of 2018 over $600,000,000,000 in assets under management now of great interest to this audience and for people watching online is that principal financial group has earned a host of awards over the years let me just tell you about some of them being recognized as among the best places to work being the best or among the best employers in america for women executive women and working mothers being among america's best employers for new graduates and for diversity being among america's most just companies and among the world's most ethical companies you've even received recognition for being one of the most military friendly employers and these recognitions come from groups as diverse as forbes the national association for female executives working mother magazine ethisphere just capital gi jobs magazine and many many others so mister howson welcome to harvard and welcome to boston"
Speaker 1,Daniel Houston,it's a privilege to be here thank you
Speaker 0,Reporter,thank you so this is a health audience so let's just start with some basics tell us what a financial services company does and tell us what you do day to day as ceo president and chief
Speaker 1,Daniel Houston,"boy the second question could get me in trouble i suppose but you know we're here to serve the needs of all all workers all individuals to help them reach financial success and frankly financial success is really hard and difficult to reach if you don't have a physical health and well-being so we've tried to work very hard in order to strike the appropriate balance through education through advice through guidance to help people understand that the more healthy lifestyle they live today the more they focus on their financial well-being the higher probability they'll enjoy a higher quality life later in life so that's a large part of what we do as you mentioned we manage well in excess of $600,000,000,000 in 90 different countries around the world big operations in both latin america asia and the united states and those 22,000,000 customers are really as diverse as you might expect not only geographically but they're diverse in terms of their ages and their wealth and their income and what i would tell you from the lowest wage earner to the very highest wage earner that is effectively the cohort that's the group of individuals that we serve worldwide"
Speaker 0,Reporter,so it's interesting to hear hear about your clientele because some people would assume that a financial services company is simply serving the well off so tell us more about how you're serving people of all income backgrounds and and more
Speaker 1,Daniel Houston,"so if i could i'd give you a sort of a typical client if i were just to take a average client of the principal financial group if they're a retirement plan customer or 401 k plan customer in your nomenclature on the university campus it would be 403 b's they would have a 125 employees they would generally have a very broad cross section of industries all the way from janitorial services to investment banking they in large part don't have a personal adviser at all maybe the top 10% out of that 125 might so 10 to 12 people might have an adviser those other 100 employees oftentimes are looking to us for guidance advice and education we do that at the worksite we do that in person at small meetings at the worksite we do it in 1 on 1 meetings at the worksite and some of it's done telephonically through our call centers i i take the and i view it as an honor i do go down to our call center and i'll take a headphone jack and and go into the console because i wanna hear firsthand what people are up against and i have yet to ever do that on a random basis and had a phone call that was was taking place on anybody that was making more than about $50,000 a year so it gives you the sense of the sort of employee who's calling in what are their questions oftentimes the question is am i saving enough am i putting it in a diverse enough portfolio this is sort of my language they may not use that exact nomenclature they're going through a divorce someone's lost a job should i take a loan should i not take a loan should it be a hardship withdrawal those are all the questions that the average american worker needs answers to and we provide those answers"
Speaker 0,Reporter,everyone can relate to those questions
Speaker 1,Daniel Houston,they really can yeah
Speaker 0,Reporter,yeah so tell us more about how you have advanced a culture that helps the health of employees consumers community and or the environment
Speaker 1,Daniel Houston,doctor coe one of the things that there's an enormous burden on a ceo we're a 140 year old company and as a 140 years i'm the only 15th person to tell this particular job as the ceo and our commitment to middle america our commitment to middle income wage earners didn't start with me it's been part of our ethos for the last 140 years and so what typically is going to take place as we sort of prioritize our resources is to make sure that we are serving everyone equally that's a that is as you might expect a a big priority but it's in all facets of what we do because we need to make sure that we have a a good health and wealth balance for our employees we have it for our customers and we try to make sure that we strike the right sort of balance for our investors as well
Speaker 0,Reporter,so tell us more about how you came upon this philosophy how how you embrace it it sounds like it's part of your history the history history of the company right
Speaker 1,Daniel Houston,"so if you went back you know in in in number of books have been written about the company in this regard and i'll give you just maybe a couple of points of of interest and this is one i found fascinating because we just remodeled a building that was built started in 1938 and finished in 1940 and one of the funny stories that came out of it because the superintendent today we'd call that a vice president but that was a construction superintendent at the time they were building the building and they had made their decision on that we were going to use clean fuel to fire the building and it was gonna be oil the alternative to that was coal but there were 2 things we were doing with this building we are putting in larger windows and the windows would be allowed to be open for fresh air it was gonna be the 1st building west of the mississippi that had air conditioning and it would be the 1st building of commercial size that would burn fuel oil well iowa at the time if you go back into the 19 thirties was a net exporter of coal and so it was the coal miners that were picketing across our front door we have pictures of the coal miners picketing because we had the audacity to burn oil and fast forward 75 years and as we modernized the building as you might expect there were major changes made led lighting there were steps that were taken we recycled 95% of the materials that came out of the building every carpet square every ceiling tile every piece of copper every metal and so the company has a long standing history the tie if you will back to the sensitivity around building materials we have a commercial real estate port portfolio greater than $26,000,000,000 a large portion of that is green building and we found out long time ago well in excess of a decade ago that we could build a green building better environmentally for for individuals whether it was all the the toxins that can exist in carpets and ceiling tiles led lighting moving the air through the building more quickly etcetera maybe it adds 10% of the cost of the building their recoup on that is measured in months and and not decades for certain so that sort of gives you a mindset that we've used not only in in our business but then the value that that creates for our customers through enhanced returns and better returns ultimately for shareholders"
Speaker 0,Reporter,so that's a fascinating example because it's on one hand a environmental example but it's also an example that impacts customer customers as you said but also employees right very much do you wanna say how how do the employees react to that sort of investment
Speaker 1,Daniel Houston,i i know this i've been with the company now for over 35 years i don't think anybody was as concerned 35 years ago let me restate that no one was concerned about that 35 years ago today if you look at the statistics among millennials it's about 75 percent non millennials all it's about 66% care about the company culture care about your environmental positions care about your carbon footprint care about what you're doing back to your respective communities i was reading an article coming out this morning that my father had sent to me and it was about women in the workforce and boards of directors he was talking about women in middle management but it was also talking about the importance that millennials are pay placing on esg related issues environmental social governance related issues now what i thought most interesting about that is my father's 85 years old and the handwritten note that he put on there dan dan i i i was so proud to see this article it it's in large part what you guys already do keep up the good work mhmm 85 year olds usually don't wanna send their sons you know that sort but that was he even connected all of those dots uh-huh that that was important if you're gonna be a successful business and he gets that
Speaker 0,Reporter,yeah so there's a theme we're hearing more about that this is of concern for all of us in the present but for future generations with millennials leading the way it's gonna be even more important you feel
Speaker 1,Daniel Houston,a third of our workers are millennials and if there's any one thing i i have been overly impressed with regards to the millennials other than the high degree of sensitivity around esg related issues how many baby boomers in the room right how many raised a millennial guess what they're better savers than us they are they save more than the baby boomers and that's really refreshing and they're doing it for the right reasons their footprint is just flat out smaller in term you know in terms of housing in terms of many aspects of their life they put a higher degree of weighting on social issues they put a higher degree of weighting on environmental issues when they look to go to work for an employer there is a bit of an underwriting and if you think about unemployment in this country 3a half 4% maybe a little bit less of that less than that if all of a sudden you're competing and you're there on wage and you're there on opportunity and you're there in terms of the right industry and you start looking at what are the differences i think it's gonna get down to issues like this interesting
Speaker 0,Reporter,so someone with your philosophy has gotta adopt a long term view but you you have a lot of short term pressures to earn profits and keep all your shareholders and stockholders happy so how do you balance all that in your daily work
